Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
5.0;73;374;Déchets et économie circulaire;Développer une alimentation durable et anti-gaspillage;Monter des projets avec les filières agricoles et agro alimentaires;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;"Soutenir le projet ""A la source 45"": projet d'alimentation circulaire (de l'approvisionnement en produits locaux à la collecte de biodéchets)";autre;non;coût++;2;impact+++;3;Déchets et économie circulaire
10.0;97;938;Gouvernance;;Porter un changement culturel par la sensibilisation et l’éducation dès le plus jeune âge;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
2.0;1,2;292;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Créer une offre de financement unique pour les ménages, intégrant l'ensemble des aides et prêts, pour garantir un reste à charge plafond;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Lancer une étude de maquette financière du dispositif;PLH;non;coût++;2;impact+++;3;Rénovation énergétique
3.0;24,26;261;Biodiversité;La nature comme solution;Créer un réseau de zones ensauvagées;coût ++/impact +++;Orléans Métropole soutient;;pas besoin d'études;n'a pas encore été chiffré;Identifier ces sites grâce à la Trame Verte et Bleue, étudier les continuités à renforcer/recréer. Gérer les espaces avec une gestion douce et de la libre évolution (attention, éviter toutefois de laisser se lignifier des espaces ouverts, très intéressants pour la biodiversité).;PCAET;non;coût++;2;impact+++;3;Biodiversité
9.0;26,27,81;362;Ville durable;Préserver les ressources;Limiter la bétonisation, au profit de parcelles de verdure, de jardins vivriers, de jardins pédagogiques;coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,fonctionne;n'a pas encore été chiffré;Le PLU métropolitain sera un outil au service de la limitation de l'artificialisation des sols;SCOT;non;coût+++;3;impact+++;3;Ville durable
3.0;29;237;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Lutter contre les espèces invasives (ex. Obama nungara) et ne pas en introduire dans les aménagements publics et créer une filière pour la gestion des invasives;coût +++/impact+++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Refaire passer les messages du Groupe Invasives en région, piloté par le Conservatoire des Espaces Naturels et le Conservatoire Botanique. Solliciter ces acteurs pour des interventions en formation. Signer la charte contre l'introduction des Espèces Exotitiques Envahissantes dans les aménagements et les plantations;;non;coût+++;3;impact+++;3;Biodiversité
3.0;30,97;252;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;"Présenter un ""baromètre"" de la nature,  outil partagé  et grand public, à l'horizon 2025, sur Orléans Métropole";;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Poursuite du travail engagé avec TOPOS, avec l'Agence Régionale de la Biodiversité;;non;;N.A.;;N.A.;Biodiversité
5.0;48,97;386;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Aller à la rencontre des habitants non-initiés/non convaincus dans les quartiers, les vide-greniers, les supermarchés : en expliquant le « pourquoi », en identifiant les leviers de motivation;coût +/impact+;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Animer des stands sur différents lieux , en particulier la déchetterie nouvelle génération;;non;coût+;1;impact+;1;Déchets et économie circulaire
5.0;48,97;389;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Sensibiliser au coût  financier des emballages pour le consommateur et valoriser l'intérêt financier du zéro déchet;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Dédier une campagne de communication et continuer à communiquer sur l'eco-consommation à travers la newsletter ""réduction des déchets""";PLPD;non;coût+;1;impact+;1;Déchets et économie circulaire
7.0;97;82;Eau;Communication sur la thématique de l'EAU;Soutenir la collecte de macro-déchets (comme les bouteilles plastiques) par la mise en place de machines de collecte donnant lieu à des bons d’achat;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût++;2;impact+++;3;Eau et milieux aquatiques
9.0;83,84;329;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Développer une gouvernance partagée, une méthodologie associant toutes les parties prenantes aux projets (citoyens, services, élus, acteurs...), ainsi qu'à l'évaluation de l'atteinte des objectifs de la transition;coût+/ impact++;Orléans Métropole pilote;;mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;développer une méthodologie en lien avec les évaluations via l'outil référentiel Ville Durable, développer une gouvernance citoyenne de la transition;PCAET;non;coût+;1;impact++;2;Ville durable
2.0;97,100;281;Rénovation;Mobiliser l'ensemble des acteurs du territoire par une stratégie de sensibilisation et de communication sur les enjeux de la rénovation énergétique;Proposer des interventions de sensibilisation dans les milieux scolaires (Sherlock home);coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Informer l'ensemble des collèges de la Métropole;;non;coût+;1;impact++;2;Rénovation énergétique
1.0;H2,H10;20;EnR;Impliquer les citoyens dans le développement des énergies renouvelables;Créer des groupes de citoyens par quartier afin de rénover « tous ensemble » et de partager ses difficultés et les coûts;coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;"Action qui nécessite d'ête précédée d'actions de sensibilisation à la rénovation énergétique/ cf thème ""rénovation énergétique""";PCAET;non;coût+;1;impact+++;3;Energies renouvelables
9.0;97;321;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Soutenir des actions de sensibilisation à une alimentation à base de produits locaux et de saison et sans emballage.;coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Approche déclinée dans l'axe Agriculture et Alimentation;PCAET;non;coût++;2;impact++;2;Ville durable
5.0;H5;373;Déchets et économie circulaire;Développer l'exemplarité de la collectivité;Engager l'exemplarité de la collectivité en matière de gestion/réduction des déchets/économie circulaire en orientant mieux leurs budgets et en développant l'évaluation;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Prendre un engagement fort dans le cadre du PLPDMA et s'appuyer sur la matrice existante de comptabilité analytique;PLPD;non;coût++;2;impact+++;3;Déchets et économie circulaire
9.0;1,2,3,4,5,6,7,8,9,10;356;Ville durable;Préserver les ressources;Réaliser des rénovations efficaces en termes d'environnement et de protection du climat.;coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Approche déclinée dans l'axe Rénovation Energétique;PCAET;non;coût+++;3;impact++;2;Ville durable
1.0;13,97;14;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Mener des actions pédagogiques dans les écoles : sobriété énergétique et EnR;coût +/impact +++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Identifier un réseau de partenariats, identifier des intervenants qualifiés, formuler des propositions d'intervention aux écoles, s'appuyer sur les programmes financés par les CEE;;non;coût+;1;impact+++;3;Energies renouvelables
1.0;13,97;15;EnR;Assurer la montée en compétences du territoire et soutenir les projets;"Faire une observation des ""gelées blanches""";coût +/impact+;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût+;1;impact+;1;Energies renouvelables
3.0;24,26;259;Biodiversité;La nature comme solution;Privilégier toujours les plantes adaptées au changement climatique dans les aménagements publics;coût +/impact +++;Orléans Métropole pilote;;mérite une progression;sans objet;Dimension à intégrer au référentiel de la ville durable dans la partie centre de ressources;PCAET;non;coût+;1;impact+++;3;Biodiversité
3.0;24,26;264;Biodiversité;La nature comme solution;Sanctuariser des zones humides et créer des mares en valorisant ce type d'écosystème;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Identifier les zones humides à protéger règlementairement dans les documents d'urbanisme, restaurer/gérer les mares, organiser des animations sur ces espaces riches de biodiversité, sensibiliser les propriétaires privés à leurs fonctions essentielles et à leur gestion écologique;autre;non;coût++;2;impact+++;3;Biodiversité
5.0;48,97;385;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Proposer des lieux différents d’apprentissage des « bons gestes » comme une fourgonnette du réemploi pouvant aller vers d'autres communes;coût ++/impact +;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;"Lancer des ateliers sur le site de la ""déchetterie nouvelle génération""";;non;coût++;2;impact+;1;Déchets et économie circulaire
5.0;48,97;397;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Intégrer ces thèmes dans le parcours scolaire (sur l’ensemble des niveaux) : créer des défis entre écoles, des activités avec les partenaires locaux;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Définir la stratégie de la collectivité à partir d'un groupe de travail transversal;;non;coût+;1;impact++;2;Déchets et économie circulaire
5.0;48,97;398;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Informer sur la dimension déchets=ressources et économie circulaire, en travaillant une pluralité des supports : défis, sites, anim de prox, film, événement urbain, fascicule…;coût +/impact+;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Inscrire cet enjeu dans le PLPDMA et définir une stratégie de communication pour mieux accompagner le changement;PLPD;non;coût+;1;impact+;1;Déchets et économie circulaire
6.0;52,97;94;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Valorisation des repères de crues;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;Identifier les communes volontaires et définir le mode de valorisation des repères (école des beaux arts ? Lycées ? );PAPI;non;coût+;1;impact+;1;Risque inondation
6.0;52,97;106;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Apporter une culture du risque aux plus jeunes, dans le cadre scolaire;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;créer une liste de contacts - identifier les outils qui seraient déjà existants, présents sur le marché;PAPI;non;coût++;2;impact++;2;Risque inondation
1.0;H10;25;EnR;Impliquer les citoyens dans le développement des énergies renouvelables;Avoir des temps d'échanges entre acteurs motivés (structure de pilotage) et ayant l'objectif de favoriser l'acceptabilité par les citoyens et les autres ! Monter des projets collectifs et rapides !;coût +/impact +++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;sans objet;Action à intégrer dans la stratégie de solarisation;;non;coût+;1;impact+++;3;Energies renouvelables
3.0;H3;225;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Adapter les moyens humains de la gestion et la conception des espaces pour atteindre les nouveaux objectifs​;coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Identifier les objectifs, se doter de moyens humains à hauter de ces derniers et former les agents pour une montée en compétence du territoire;;oui;coût+++;3;impact+++;3;Biodiversité
4.0;H4;156;Mobilité;Améliorer et développer les services de mobilité;Développer un bureau des temps (ayant pour objectif d'étaler les heures de pointe pour limiter la création de nouvelles infrastructures);coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Non prioritaire;;non;coût++;2;impact++;2;Mobilités durables
4.0;H4;157;Mobilité;Améliorer et développer les services de mobilité;Envisager la gratuité des transports (pour certains publics, de façon évenementielle, voir pour tous);coût +++/impact ++;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;Etude faisabilité tarification solidaire;PDU;non;coût+++;3;impact++;2;Mobilités durables
4.0;H4;187;Mobilité;Adapter la ville pour favoriser les mobilités durables;Ré-exploiter le réseau ferroviaire sur la métropole  (Réouvrir les lignes aux voyageurs, développer le fret…);coût +++/impact ++;Orléans Métropole soutient;;besoin d'études préalables;a été chiffré mais n'est pas budgété;Il s'agit d'une compétence portée par le Conseil Régional Centre Val de Loire. Discussions à poursuivre et à intensifier.;SCOT;non;coût+++;3;impact++;2;Mobilités durables
7.0;H7;86;Eau;Préserver les ressources en eau;Atteindre la qualité eau de baignade pour certains plans d’eau;coût +++/impact+++;Orléans Métropole soutient;;besoin d'études préalables;;Pas d'action directe en 2022. Action à intégrer aux révisions de contrats territoriaux en cours sur le territoire (ces contrats permettent une contactualisation avec l'Agence de l'eau au service d'un plan d'actions de reconquète de l'eau);;non;coût+++;3;impact+++;3;Eau et milieux aquatiques
7.0;H7,H10;79;Eau;Communication sur la thématique de l'EAU;Recueillir l’avis et impliquer davantage les différents acteurs (citoyens, élus, services publics) autour de la question de la gestion de la ressource en s'appuyant sur des modèles existant pour faire bouger les lignes.;;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;;N.A.;;N.A.;Eau et milieux aquatiques
5.0;73;378;Déchets et économie circulaire;Développer une alimentation durable et anti-gaspillage;Valoriser et soutenir l'alimentation durable auprès des particuliers et des restaurations collectives;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Organiser des évènements;;non;coût+;1;impact+;1;Déchets et économie circulaire
8.0;76;213;Alimentation;Favoriser les espaces nourriciers (jardins, végétations urbaines, …) en ville pour augmenter les sources de production locales;Développer un autre rapport à la végétalisation de la ville : moins ornementale, plus de fruitiers, potager partagés, utiliser les parcs différemment;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Identifier les pistes d'action possibles;;non;coût+;1;impact++;2;Alimentation et agriculture
8.0;77;196;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;Trouver des porteurs de projet agricole en partenariat avec les structures de formation, la couveuse et soutenir financièrement l'installation (terre, bâtiment, forage...) et épauler sur le temps long (ex. tutorat);coût+/ impact++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Animer et faire vivre la couveuse d'entreprises agricoles Terr'O, accompagner de nouveaux couvés dans leur test d'activité, travail avec les organismes partenaires (Chambre d'agriculture, école horticole de la Mouillère, MFR de l'Orléanais);Charte agricole;non;coût+;1;impact++;2;Alimentation et agriculture
9.0;82;351;Ville durable;Préserver les ressources;Intégrer la qualité de l'air aux problématiques traitées, au-delà du lien avec le développement cyclable;coût +/impact+;Orléans Métropole soutient;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Intégrer l'approche qualité de l'air aux thématiques énergétiques via le Plan de Protection de l'Atmosphère, et aux thématiques biodiversité/risques (pollens, allergènes, pollution…) via l'observatoire des risques;PCAET;oui;coût+;1;impact+;1;Ville durable
9.0;82;367;Ville durable;Développer la connaissance autour de la ville durable et ses ressources;Alimenter un réseau d'alerte préventive de la population à l'aide des résultats de la station de  surveillance de l'air de  La Source;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Ce réseau existe déjà, alimenté par Lig'Air. Une relance de communication et d'information pourra être assurée.;PCAET;non;coût++;2;impact++;2;Ville durable
9.0;83;322;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Créer des emplois durables et efficaces pour lier le développement économique / social / environnemental;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;;Un travail spécifique doit être engagé sur le volet rénovation énergétique afin d'accompagner la montée en charge du programme des rénovations. Le travail pourra ensuite être dupliqué sur d'autres thèmes.;;non;coût++;2;impact++;2;Ville durable
9.0;83;333;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Animer le déploiement du référentiel Ville Durable.  Organiser une démarche globale de montée en compétences des acteurs du territoire sur le sujet de la Ville Durable et sur l'outil référentiel, favoriser la capitalisation et la communication sur les actions mises en œuvre par la mise en réseau des acteurs de la Ville Durable;coût +/impact +++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Cartographier les acteurs, activer une mise en réseau, proposer des temps de montée en compétence;PCAET;oui;coût+;1;impact+++;3;Ville durable
9.0;83;341;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Intégrer la réflexion sur les logements vacants, comme solution pour limiter la densification, favoriser le développement d’une offre de logements intergénérationnels, accessibles, étudiants;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;La question des logements vacants sera abordée dans le cadre du Plan Local de l'Habitat n°4;PLH;non;coût++;2;impact++;2;Ville durable
9.0;83;347;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Adapter la cohabitation des différents types de mobilité en fonction de la configuration des rues;coût ++/impact +++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe mobilité;;non;coût++;2;impact+++;3;Ville durable
9.0;83;348;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;identifier toutes les friches et travailler à leur réhabilitation avant de travailler en extension urbaine  ou en densifiant au mépris de la préservation d’espace de respiration;coût +/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;;Action d'identification déjà réalisée - travail sur la réhabilitation à faire;SCOT;non;coût+;1;impact+++;3;Ville durable
4.0;84;184;Mobilité;Adapter la ville pour favoriser les mobilités durables;Mener des réflexions préalables sur l'accessibilité et les impacts déplacements de tout projet urbain;coût+/ impact++;Orléans Métropole soutient;;mérite une progression;n'a pas encore été chiffré;Besoin d'accompagnement/d'expertise (et moyens humains) de la direction de la mobilité auprès des porteurs de projet. Organisation de l'administration à questionner;PDU;non;coût+;1;impact++;2;Mobilités durables
4.0;90;126;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Concevoir des espaces publics en faveur et adaptés aux modes actifs et transports collectifs (avec des trottoirs aux normes d'accessibilité, aménagements cyclables sécurisés,  feux adaptés, vélorues…);coût ++/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;Organisation de sessions de formation pour les chargés d'opération;PDU;non;coût++;2;impact+++;3;Mobilités durables
4.0;90;128;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Inverser les principes d'aménagement de l'espace public en donnant la priorité et plus de place aux usagers les plus vulnérables  (1-piéton, 2-vélo/transports en commun 3-véhicules);coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;;Définir méthodologie et expérimenter ces principes de conception sur 1 projet de réaménagement de voirie;;non;coût++;2;impact+++;3;Mobilités durables
4.0;90;145;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Elaborer et mettre en œuvre un Plan Piéton et améliorer fortement l’accessibilité piétonne des espaces publics;coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Lancement élaboration Plan Piéton - Schéma d'accessibilité;PDU;non;coût+++;3;impact+++;3;Mobilités durables
4.0;90;161;Mobilité;Améliorer et développer les services de mobilité;Créer des aires de covoiturage et de nouveaux parking-relais;coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Création d'une première aire de covoiturage - Si budget validé;PDU;non;coût++;2;impact++;2;Mobilités durables
10.0;91;932;Gouvernance;;Expérimenter la mise en place d’une instance citoyenne mixte chargée du suivi et de l’évaluation annuelle de la feuille de route de la transition écologique;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
10.0;92;933;Gouvernance;;Mobiliser le Conseil de développement pour apporter un regard critique et des propositions stratégiques;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
7.0;97;73;Eau;Communication sur la thématique de l'EAU;Sensibiliser à l’eau via les indicateurs météorologiques (pluviométrie, température...) sur les affichages numériques;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût+;1;impact+;1;Eau et milieux aquatiques
7.0;97;77;Eau;Communication sur la thématique de l'EAU;Créer de nouveaux outils de sensibilisation et communication avec le soutien et l’expertise d’acteurs du territoire pour toucher différemment et mieux la population;coût+/ impact++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût+;1;impact++;2;Eau et milieux aquatiques
7.0;97;80;Eau;Communication sur la thématique de l'EAU;Utiliser les événements existants pour communiquer (ex : festival de Loire);coût +/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Cela pourra se tenir à l'occasion de la journée annuelle évènementielle des Assises;;non;coût+;1;impact+++;3;Eau et milieux aquatiques
7.0;97;85;Eau;Préserver les ressources en eau;Cibler les gros consommateurs et les encourager à réfléchir différemment sur leurs consommations;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022. Etudes préalables à mener pour cibler les actions prioritaires à mettre en œuvre;;non;coût++;2;impact+++;3;Eau et milieux aquatiques
9.0;97;360;Ville durable;Préserver les ressources;Introduire l'agriculture bio, la production locale, l'alimentation végétale dans la restauration collective avec accompagnement pédagogique;coût ++/ impact ++;Orléans Métropole soutient;;;;Approche déclinée dans l'axe Agriculture et Alimentation;autre;non;coût++;2;impact++;2;Ville durable
5.0;97;396;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Doter les enseignants de kits pédagogiques pour faciliter leur mission d'éducateur en la matière;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;"Poursuivre la réflexion engagée sur une malette pédagogique ""déchets et eco-consommation""";;non;coût+;1;impact++;2;Déchets et économie circulaire
1.0;13,97;10;EnR;Assurer la montée en compétences du territoire et soutenir les projets;S’appuyer sur une information accessible concernant les  éco-gestes pour diffuser une information plus générale sur la sobriété énergétique et les impacts de la production énergétique;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;S'appuyer sur l'Espace Conseil France Rénov' via une convention de partenariat;PCAET;non;coût+;1;impact++;2;Energies renouvelables
1.0;13,97;18;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Inspirer et communiquer sur les initiatives qui ont fonctionné ailleurs sur le sujet,  montrer par la preuve, notamment chez les collectivités ! dans leurs bâtiments par exemple.;coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Promouvoir le guide énergétique (radar des solutions) ainsi que les fiches retours d'expériences du référentiel Ville durable;PCAET;non;coût+;1;impact++;2;Energies renouvelables
1.0;14,26;4;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Prendre en compte la biodiversité dans tous les projets énergies renouvelables;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;"Réalisation d'une charte multi-EnR à l'échelle métropolitaine qui intègrera cet enjeu
Mise en œuvre de la charte bois-énergie portée par la Métropole en partenariat avec FNE";SDE;non;coût+;1;impact+;1;Energies renouvelables
3.0;23,24,26;267;Biodiversité;Exemplarité des collectivités;Limiter l’éclairage public pour préserver les insectes. Harmoniser les pratiques d'extinction ou d'abaissement  d'éclairage / biodiversité;coût +/impact +++;Orléans Métropole pilote;;est déjà en place,fonctionne;n'a pas encore été chiffré;Solution déjà en place dans certaines communes. Réaliser un état des lieux pour aller vers des pratiques communes et informer les habitants.;;non;coût+;1;impact+++;3;Biodiversité
3.0;24,26;260;Biodiversité;La nature comme solution;Créer des espaces verts même de petite taille à lier avec les voies vertes / pistes cyclables à créer;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Identifier les sites grâce à la Trame Verte et Bleue, éudier la faisabilité de les connecter avec des liaisons douces pour les humaines, relier cette étude à la réalisation de pistes cyclables. Planter avec du végétal local si l'on est situé hors des villes;;non;coût++;2;impact+++;3;Biodiversité
3.0;24,26;262;Biodiversité;La nature comme solution;Aménager des parcs “sauvages “;coût ++/impact +++;Orléans Métropole soutient;;mérite une progression;n'a pas encore été chiffré;"Intégrer le ""sauvage"" dans la conception des espaces verts, prévoir des espaces en libre évolution, laisser la flore spontanée (non invasive!) s'installer aux cotés de la flore horticole";;non;coût++;2;impact+++;3;Biodiversité
3.0;24,26;270;Biodiversité;Exemplarité des collectivités;Penser les projets urbains en protégeant la végétation existante le plus possible notamment les arbres plutôt que de compenser la destruction à postériori;coût +/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;sans objet;"Vraiment privilégier les volets éviter et réduire de la sequence ""Eviter Réduire Compenser"" dans la conduite des projets. Laisse le temps de la réalisation des diagnostics et des cartographies des enjeux avant de dessiner des plans d'aménagements";;non;coût+;1;impact+++;3;Biodiversité
3.0;24,26;271;Biodiversité;Exemplarité des collectivités;Valoriser le label Territoire Engagé pour la Nature  dans les plus petites communes par un accompagnement Métropolitain;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Reconnaissance Territoires Engagés pour la Nature valorisée auprès des communes accompagnées sur la réalisation d'un Inventaire de Biodiversité Communale. Mettre en relation les communes avec l'Agence Régionale de la Biodiversité, opérateur porteur de l'action.;;non;coût++;2;impact++;2;Biodiversité
9.0;28,81;364;Ville durable;Préserver les ressources;Développer des poumons verts dans la métropole;coût ++/impact +++;Orléans Métropole pilote;;est déjà en place,fonctionne;n'a pas encore été chiffré;Le PLU métropolitain sera un outil permettant de travail de maintien/développement de ces poumons verts;;non;coût++;2;impact+++;3;Ville durable
4.0;33,38;159;Mobilité;Améliorer et développer les services de mobilité;Soutenir le développement des vélos-cargos et vélos rallongés (longtails) pour les particuliers et professionnels;coût ++/ impact ++;Orléans Métropole soutient;;mérite une progression;fait l'objet d'une inscription au PPI;Déjà en place pour vélocargos pour particulier (location moyenne durée, aides à l'achat)/ (absence budget supplémentaire en 2022);PDU;non;coût++;2;impact++;2;Mobilités durables
4.0;35,97;174;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;"Soutenir les opérations type ""dimanche sans voiture""";coût+/ impact++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Validation politique de l'action;;non;coût+;1;impact++;2;Mobilités durables
5.0;48,97;394;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Agir vers et via les jeunes : trouver des relais auprès des enseignants, des éducateurs, des parents d'élèves, des assos culturelles et sportives;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Affirmer cet engagement dans le PLPDMA;PLPD;non;coût+;1;impact++;2;Déchets et économie circulaire
5.0;48,97;400;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Produire une cartographie / un annuaire des solutions déjà  existantes sur le territoire : vente en vrac, ateliers anti-gaspi, boutiques réemploi,  selon mode/lieu de vie/moyens > action inclusive;coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Créer la base de données à injecter dans le site internet métropole;PLPD;non;coût+;1;impact++;2;Déchets et économie circulaire
